Benchmark_Name,Dataset_Size,Algorithm,Threads,Time_Mean_ms,Throughput_Melem_s,mtime,Benchmark_Group,_mtime_dt
lookup/std_hashmap/10000,10000,std_hashmap,1,0.22338033632803503,44.76669775138558,1760253852.6051178,lookup,2025-10-12 07:24:12.605117798+00:00
lookup/ahashmap/10000,10000,ahashmap,1,0.1547812070566388,64.60732662680888,1760253865.5880322,lookup,2025-10-12 07:24:25.588032246+00:00
lookup/std_hashmap/100000,100000,std_hashmap,1,2.791407598870056,35.8242200245064,1760253891.8507853,lookup,2025-10-12 07:24:51.850785255+00:00
lookup/ahashmap/100000,100000,ahashmap,1,1.867117041198502,53.558506399689875,1760253906.0856597,lookup,2025-10-12 07:25:06.085659742+00:00
lookup/std_hashmap/1000000,1000000,std_hashmap,1,160.26436035714286,6.239690457513692,1760254005.6116774,lookup,2025-10-12 07:26:45.611677408+00:00
lookup/ahashmap/1000000,1000000,ahashmap,1,101.47933888888888,9.854222652109645,1760254054.8532138,lookup,2025-10-12 07:27:34.853213787+00:00
lookup/std_hashmap/10000000,10000000,std_hashmap,1,2397.773758,4.170535258648035,1760254332.6284494,lookup,2025-10-12 07:32:12.628449440+00:00
lookup/ahashmap/10000000,10000000,ahashmap,1,1451.3959766666665,6.889918506572133,1760254473.871198,lookup,2025-10-12 07:34:33.871197939+00:00
lookup/std_hashmap/25000000,25000000,std_hashmap,1,6562.13966,3.8097329979715795,1760254803.934927,lookup,2025-10-12 07:40:03.934926987+00:00
lookup/ahashmap/25000000,25000000,ahashmap,1,3930.19067,6.361014540803436,1760254973.2971082,lookup,2025-10-12 07:42:53.297108173+00:00
insertion/std_hashmap/10000,10000,std_hashmap,1,0.7068846198830412,14.146580246228256,1760255029.3407974,insertion,2025-10-12 07:43:49.340797424+00:00
insertion/ahashmap/10000,10000,ahashmap,1,0.6317770940170941,15.828367464885373,1760255041.5218143,insertion,2025-10-12 07:44:01.521814346+00:00
insertion/std_hashmap/100000,100000,std_hashmap,1,11.707206923076923,8.541747033007741,1760255069.625233,insertion,2025-10-12 07:44:29.625232935+00:00
insertion/ahashmap/100000,100000,ahashmap,1,11.26292911111111,8.87868502176294,1760255083.5708582,insertion,2025-10-12 07:44:43.570858240+00:00
insertion/std_hashmap/1000000,1000000,std_hashmap,1,290.40771666666666,3.443434669980934,1760255189.565683,insertion,2025-10-12 07:46:29.565682888+00:00
insertion/ahashmap/1000000,1000000,ahashmap,1,284.6149985714286,3.513518279146608,1760255241.4706292,insertion,2025-10-12 07:47:21.470629215+00:00
insertion/std_hashmap/10000000,10000000,std_hashmap,1,4338.0547799999995,2.3051806644083,1760255629.6777647,insertion,2025-10-12 07:53:49.677764654+00:00
insertion/ahashmap/10000000,10000000,ahashmap,1,4285.1712099999995,2.3336290453608273,1760255828.817682,insertion,2025-10-12 07:57:08.817682028+00:00
insertion/std_hashmap/25000000,25000000,std_hashmap,1,13691.878709999999,1.825899902380891,1760256459.552903,insertion,2025-10-12 08:07:39.552902937+00:00
insertion/ahashmap/25000000,25000000,ahashmap,1,13556.5442,1.844127797702308,1760256778.8180828,insertion,2025-10-12 08:12:58.818082809+00:00
mixed_workload/std_hashmap_mixed/10000,10000,std_hashmap_mixed,1,0.8406048547008546,11.896195869055138,1760256806.936771,mixed_workload,2025-10-12 08:13:26.936770916+00:00
mixed_workload/ahashmap_mixed/10000,10000,ahashmap_mixed,1,0.745432459259259,13.415031604522646,1760256820.6121888,mixed_workload,2025-10-12 08:13:40.612188816+00:00
mixed_workload/std_hashmap_mixed/100000,100000,std_hashmap_mixed,1,10.93227139784946,9.147229917807518,1760256848.305501,mixed_workload,2025-10-12 08:14:08.305500984+00:00
mixed_workload/ahashmap_mixed/100000,100000,ahashmap_mixed,1,9.544963619047618,10.476729298416943,1760256861.2712283,mixed_workload,2025-10-12 08:14:21.271228313+00:00
mixed_workload/std_hashmap_mixed/1000000,1000000,std_hashmap_mixed,1,332.4315835714286,3.0081377625334236,1760256965.2529874,mixed_workload,2025-10-12 08:16:05.252987385+00:00
mixed_workload/ahashmap_mixed/1000000,1000000,ahashmap_mixed,1,284.0931275,3.519972513238639,1760257015.441881,mixed_workload,2025-10-12 08:16:55.441880941+00:00
mixed_workload/std_hashmap_mixed/10000000,10000000,std_hashmap_mixed,1,4501.251513333334,2.2216043627819078,1760257302.4841082,mixed_workload,2025-10-12 08:21:42.484108210+00:00
mixed_workload/ahashmap_mixed/10000000,10000000,ahashmap_mixed,1,4083.739793333333,2.448735841672603,1760257437.6861393,mixed_workload,2025-10-12 08:23:57.686139345+00:00
mixed_workload/std_hashmap_mixed/25000000,25000000,std_hashmap_mixed,1,12535.48278,1.9943388251377743,1760257814.5969443,mixed_workload,2025-10-12 08:30:14.596944332+00:00
mixed_workload/ahashmap_mixed/25000000,25000000,ahashmap_mixed,1,11415.623534999999,2.189981118714248,1760258055.0548933,mixed_workload,2025-10-12 08:34:15.054893255+00:00
growth_behavior/std_hashmap_incremental_growth/10000,10000,std_hashmap_incremental_growth,1,1.8261589799635707,5.475974496042774,1760258084.84485,growth_behavior,2025-10-12 08:34:44.844850063+00:00
growth_behavior/ahashmap_incremental_growth/10000,10000,ahashmap_incremental_growth,1,1.614629660194175,6.193370682164604,1760258098.585569,growth_behavior,2025-10-12 08:34:58.585568905+00:00
